source,estimator,rmse,mae,r2,n_test
acn,model,0.21882096267414985,0.13500488494366308,0.28299211275213165,14985
acn,baseline,0.24483707434597607,0.16138661172644253,0.1023636172120177,14985
urbanev,model,0.03997743021149746,0.02436959744566026,0.9477808563176413,25688
urbanev,baseline,0.08939963988592754,0.06267088089693164,0.7388611201117656,25688
